code_insee_commune_actualise,etiquette_dpe,etiquette_ges,type_batiment,annee_construction,surface_habitable_logement,consommation_energie_primaire,date_reception_dpe,region_code,source
29349,E,A,appartement,1986,137.9,677.0,2021-07-01,53,simule_distributions_ademe_2023
56135,E,E,appartement,1967,122.0,584.0,2021-07-01,53,simule_distributions_ademe_2023
56215,D,E,maison,1972,88.7,157.0,2021-07-01,53,simule_distributions_ademe_2023
56366,F,B,appartement,1929,140.2,676.0,2021-07-01,53,simule_distributions_ademe_2023
35289,D,F,appartement,1969,70.4,295.0,2021-07-02,53,simule_distributions_ademe_2023
22121,G,D,immeuble,1929,29.6,530.0,2021-07-02,53,simule_distributions_ademe_2023
56164,F,B,appartement,1924,86.4,447.0,2021-07-02,53,simule_distributions_ademe_2023
22388,D,G,appartement,1977,126.4,224.0,2021-07-02,53,simule_distributions_ademe_2023
29035,B,D,immeuble,1999,55.4,110.0,2021-07-03,53,simule_distributions_ademe_2023
29240,F,B,appartement,1940,82.7,391.0,2021-07-03,53,simule_distributions_ademe_2023
29316,E,D,maison,1972,46.4,468.0,2021-07-03,53,simule_distributions_ademe_2023
29092,D,F,maison,1977,48.9,198.0,2021-07-03,53,simule_distributions_ademe_2023
35083,E,F,maison,1970,78.1,677.0,2021-07-04,53,simule_distributions_ademe_2023
29363,F,E,appartement,1924,63.2,652.0,2021-07-04,53,simule_distributions_ademe_2023
29381,F,A,maison,1942,86.1,483.0,2021-07-04,53,simule_distributions_ademe_2023
35264,F,D,maison,1941,37.8,495.0,2021-07-04,53,simule_distributions_ademe_2023
29317,G,D,maison,1964,74.1,395.0,2021-07-05,53,simule_distributions_ademe_2023
56279,E,A,immeuble,1980,65.9,474.0,2021-07-05,53,simule_distributions_ademe_2023
56370,C,B,appartement,1985,87.8,252.0,2021-07-05,53,simule_distributions_ademe_2023
29022,E,D,maison,1983,95.2,497.0,2021-07-05,53,simule_distributions_ademe_2023
56123,B,D,immeuble,2010,96.8,56.0,2021-07-06,53,simule_distributions_ademe_2023
35249,D,G,maison,1975,53.5,323.0,2021-07-06,53,simule_distributions_ademe_2023
56049,F,A,maison,1969,43.2,502.0,2021-07-06,53,simule_distributions_ademe_2023
22013,C,B,appartement,2003,96.6,186.0,2021-07-06,53,simule_distributions_ademe_2023
22328,E,D,appartement,1986,131.0,562.0,2021-07-07,53,simule_distributions_ademe_2023
29297,E,F,maison,1968,33.8,496.0,2021-07-07,53,simule_distributions_ademe_2023
56203,D,D,appartement,1985,60.1,291.0,2021-07-07,53,simule_distributions_ademe_2023
22001,D,E,maison,1974,132.7,202.0,2021-07-07,53,simule_distributions_ademe_2023
29012,C,D,appartement,2009,109.3,310.0,2021-07-08,53,simule_distributions_ademe_2023
22222,C,G,maison,2013,68.0,307.0,2021-07-08,53,simule_distributions_ademe_2023
29259,G,B,appartement,1974,34.4,694.0,2021-07-08,53,simule_distributions_ademe_2023
35229,G,E,appartement,1941,49.6,455.0,2021-07-08,53,simule_distributions_ademe_2023
29327,C,F,maison,1991,54.7,243.0,2021-07-09,53,simule_distributions_ademe_2023
29136,E,E,appartement,1992,36.5,597.0,2021-07-09,53,simule_distributions_ademe_2023
22264,B,E,appartement,2002,124.3,96.0,2021-07-09,53,simule_distributions_ademe_2023
56386,E,A,immeuble,1979,42.9,639.0,2021-07-09,53,simule_distributions_ademe_2023
29268,D,E,maison,1973,101.7,226.0,2021-07-10,53,simule_distributions_ademe_2023
56318,F,E,maison,1920,82.4,617.0,2021-07-10,53,simule_distributions_ademe_2023
35038,C,D,appartement,2003,119.6,287.0,2021-07-10,53,simule_distributions_ademe_2023
29052,E,E,maison,1969,142.9,336.0,2021-07-10,53,simule_distributions_ademe_2023
22004,D,G,maison,1968,67.0,279.0,2021-07-11,53,simule_distributions_ademe_2023
29229,F,D,maison,1965,48.4,663.0,2021-07-11,53,simule_distributions_ademe_2023
35372,A,D,maison,2003,25.0,86.0,2021-07-11,53,simule_distributions_ademe_2023
22299,C,E,appartement,2019,68.4,309.0,2021-07-12,53,simule_distributions_ademe_2023
35186,F,F,maison,1951,73.2,373.0,2021-07-12,53,simule_distributions_ademe_2023
29196,D,E,appartement,1969,162.6,297.0,2021-07-12,53,simule_distributions_ademe_2023
22071,D,F,appartement,1971,101.0,189.0,2021-07-12,53,simule_distributions_ademe_2023
35040,C,D,appartement,2007,110.2,264.0,2021-07-13,53,simule_distributions_ademe_2023
