CODGEO,NB_LOGEMENTS,NB_RP,NB_LOGVAC,NB_MAISON,NB_APPART,DEP
75001,885,721,47,449,379,75
75002,24000,17028,1312,11855,5154,75
75003,3404,2469,338,1658,1131,75
75004,3783,3195,387,1078,1997,75
75005,1645,1165,216,735,452,75
75006,127,98,7,45,33,75
75007,626,466,36,183,141,75
75008,548,454,57,166,304,75
75009,463,349,52,216,221,75
75010,1186,830,174,403,336,75
75011,44,30,6,20,19,75
75012,3991,2939,485,1882,974,75
75013,15447,13057,1861,7242,4989,75
75014,203,143,13,60,83,75
75015,718,592,85,373,395,75
75016,919,625,89,324,316,75
75017,3753,2616,227,1427,1039,75
75018,2542,2072,245,1194,915,75
75019,688,469,50,242,207,75
75020,438,349,50,212,215,75
75021,88,74,5,34,26,75
75022,1443,1084,188,531,513,75
75023,468,371,58,202,245,75
75024,781,528,54,337,298,75
75025,11259,9066,1187,5220,3623,75
75026,1261,997,113,545,538,75
75027,11074,7368,788,3089,5057,75
75028,3869,3023,260,1731,1923,75
75029,923,774,67,279,427,75
75030,1387,911,179,325,304,75
75031,3037,2543,277,1087,1482,75
75032,2520,1954,298,1143,1145,75
75033,3202,2551,212,833,1360,75
75034,1097,841,128,333,403,75
75035,311,213,29,85,142,75
75036,2282,1569,205,983,494,75
75037,1811,1484,169,721,941,75
75038,219,164,21,68,72,75
75039,3327,2682,406,1532,1800,75
75040,68,55,9,17,25,75
75041,216,169,32,61,73,75
75042,38286,32184,3548,15024,20870,75
75043,824,682,72,211,319,75
75044,329,219,35,106,96,75
75045,12,10,1,6,5,75
75046,737,557,107,232,235,75
75047,800,602,48,261,282,75
75048,299,253,44,87,117,75
75049,2383,1885,323,834,1093,75
75050,7638,5941,432,3362,1903,75
75051,621,432,90,278,180,75
75052,739,621,45,231,299,75
75053,913,697,116,422,487,75
75054,439,331,58,195,201,75
75055,2532,2055,264,1319,1030,75
75056,80,56,4,22,30,75
75057,13477,9775,1712,4187,6750,75
75058,725,514,98,242,204,75
75059,924,733,61,502,260,75
75060,2252,1858,115,792,911,75
75061,4802,3387,276,1147,1016,75
75062,5524,4435,351,2775,1821,75
75063,882,703,118,357,292,75
75064,156,114,22,70,51,75
75065,406,327,31,152,179,75
75066,14985,10202,1841,5780,7085,75
75067,3650,2801,420,1914,963,75
75068,9449,7820,776,2360,3080,75
75069,56951,43251,6211,13531,30262,75
75070,7262,5339,478,2077,3142,75
75071,3207,2695,309,1412,1142,75
75072,63,50,7,22,22,75
75073,6500,5326,955,2230,2322,75
75074,6516,4707,699,1953,2533,75
75075,137,110,17,37,58,75
75076,1355,1053,81,407,623,75
75077,400,267,41,186,131,75
75078,455,368,60,186,134,75
75079,2150,1734,198,897,839,75
75080,393,288,52,132,164,75
75081,2429,1778,297,702,1222,75
75082,137,105,19,36,41,75
75083,50169,39264,2586,24713,23617,75
75084,408,345,30,197,198,75
75085,214,150,32,101,89,75
75086,1111,874,154,354,313,75
75087,1039,873,102,539,546,75
75088,206,146,18,50,84,75
75089,2014,1370,270,532,566,75
75090,11973,8820,1239,5616,4230,75
75091,242,201,19,94,122,75
75092,1004,714,70,371,371,75
75093,2086,1688,170,576,765,75
75094,2782,1883,365,601,1316,75
75095,1523,1193,221,628,675,75
75096,1054,871,80,317,585,75
75097,460,325,36,113,220,75
75098,1094,754,112,241,428,75
75099,1185,922,159,543,350,75
77001,3230,2125,477,1113,1298,77
77002,65,44,8,27,15,77
77003,168,125,18,83,53,77
77004,30,20,2,6,13,77
77005,4148,3377,367,1587,1699,77
77006,2166,1484,228,869,871,77
77007,689,523,103,289,327,77
77008,745,587,78,221,215,77
77009,839,701,44,312,212,77
77010,3694,2599,294,1170,1520,77
77011,502,348,48,108,161,77
77012,852,571,125,174,309,77
77013,584,388,51,239,158,77
77014,910,618,66,296,400,77
77015,6563,4443,456,2243,2764,77
77016,2917,1992,332,1236,1066,77
77017,5705,4399,794,1395,1505,77
77018,515,394,44,172,233,77
