CODGEO,NOM_COMMUNE,POPULATION,DEP,REG
75056,Paris,2103778,75,11
77001,Achères-la-Forêt,1191,77,11
77002,Amillis,830,77,11
77003,Amponville,349,77,11
77004,Andrezel,336,77,11
77005,Annet-sur-Marne,3408,77,11
77006,Arbonne-la-Forêt,1021,77,11
77007,Argentières,361,77,11
77008,Armentières-en-Brie,1176,77,11
77009,Arville,145,77,11
77010,Aubepierre-Ozouer-le-Repos,984,77,11
77011,Aufferville,482,77,11
77012,Augers-en-Brie,265,77,11
77013,Aulnoy,362,77,11
77014,Avon,13651,77,11
77015,Baby,113,77,11
77016,Bagneaux-sur-Loing,1570,77,11
77018,Bailly-Romainvilliers,6980,77,11
77019,Balloy,359,77,11
77020,Bannost-Villegagnon,667,77,11
77021,Barbey,153,77,11
77022,Barbizon,1261,77,11
77023,Barcy,387,77,11
77024,Bassevelle,374,77,11
77025,Bazoches-lès-Bray,878,77,11
77026,Beauchery-Saint-Martin,384,77,11
77027,Beaumont-du-Gâtinais,1129,77,11
77029,Beauvoir,185,77,11
77030,Bellot,777,77,11
77031,Bernay-Vilbert,1005,77,11
77032,Beton-Bazoches,890,77,11
77033,Bezalles,221,77,11
77034,Blandy,763,77,11
77035,Blennes,546,77,11
77036,Boisdon,131,77,11
77037,Bois-le-Roi,6072,77,11
77038,Boissettes,437,77,11
77039,Boissise-la-Bertrand,1206,77,11
77040,Boissise-le-Roi,3941,77,11
77041,Boissy-aux-Cailles,272,77,11
77042,Boissy-le-Châtel,3346,77,11
77043,Boitron,322,77,11
77044,Bombon,935,77,11
77045,Bougligny,738,77,11
77046,Boulancourt,350,77,11
77047,Bouleurs,1743,77,11
77048,Bourron-Marlotte,2774,77,11
77049,Boutigny,874,77,11
77050,Bransles,526,77,11
77051,Bray-sur-Seine,2344,77,11
77052,Bréau,384,77,11
77053,Brie-Comte-Robert,19003,77,11
77054,La Brosse-Montceaux,776,77,11
77055,Brou-sur-Chantereine,5196,77,11
77056,Burcy,150,77,11
77057,Bussières,600,77,11
77058,Bussy-Saint-Georges,27498,77,11
77059,Bussy-Saint-Martin,738,77,11
77060,Buthiers,792,77,11
77061,Cannes-Écluse,2742,77,11
77062,Carnetin,461,77,11
77063,La Celle-sur-Morin,1235,77,11
77065,Cély,1259,77,11
77066,Cerneux,272,77,11
77067,Cesson,11222,77,11
77068,Cessoy-en-Montois,213,77,11
77069,Chailly-en-Bière,2162,77,11
77070,Chailly-en-Brie,1576,77,11
77071,Chaintreaux,821,77,11
77072,Chalautre-la-Grande,644,77,11
77073,Chalautre-la-Petite,541,77,11
77075,Chalifert,1584,77,11
77076,Chalmaison,749,77,11
77077,Chambry,1064,77,11
77078,Chamigny,1480,77,11
77079,Champagne-sur-Seine,6497,77,11
77080,Champcenest,205,77,11
77081,Champdeuil,739,77,11
77082,Champeaux,810,77,11
77083,Champs-sur-Marne,27451,77,11
77084,Changis-sur-Marne,1335,77,11
77085,Chanteloup-en-Brie,4130,77,11
77086,La Chapelle-Gauthier,1400,77,11
77087,La Chapelle-Iger,191,77,11
77088,La Chapelle-la-Reine,2170,77,11
77089,La Chapelle-Rablais,913,77,11
77090,La Chapelle-Saint-Sulpice,239,77,11
77091,Les Chapelles-Bourbon,459,77,11
77093,La Chapelle-Moutils,400,77,11
77094,Charmentray,291,77,11
77095,Charny,1585,77,11
77096,Chartrettes,2633,77,11
77097,Chartronges,304,77,11
77098,Châteaubleau,363,77,11
77099,Château-Landon,3149,77,11
77100,Le Châtelet-en-Brie,4207,77,11
77101,Châtenay-sur-Seine,1049,77,11
77102,Châtenoy,155,77,11
77103,Châtillon-la-Borde,226,77,11
77104,Châtres,714,77,11
77106,Chauffry,994,77,11
77107,Chaumes-en-Brie,3503,77,11
77108,Chelles,54620,77,11
77109,Chenoise-Cucharmoy,1607,77,11
77110,Chenou,291,77,11
77111,Chessy,7771,77,11
77112,Chevrainvilliers,255,77,11
77113,Chevru,1012,77,11
77114,Chevry-Cossigny,4075,77,11
77115,Chevry-en-Sereine,498,77,11
77116,Choisy-en-Brie,1354,77,11
77117,Citry,922,77,11
77118,Claye-Souilly,13353,77,11
77119,Clos-Fontaine,244,77,11
77120,Cocherel,618,77,11
77121,Collégien,3354,77,11
77122,Combs-la-Ville,23350,77,11
77123,Compans,754,77,11
77124,Conches-sur-Gondoire,1761,77,11
77125,Condé-Sainte-Libiaire,1500,77,11
77126,Congis-sur-Thérouanne,1772,77,11
77127,Coubert,2005,77,11
77128,Couilly-Pont-aux-Dames,2064,77,11
77129,Coulombs-en-Valois,576,77,11
77130,Coulommes,542,77,11
77131,Coulommiers,16374,77,11
77132,Coupvray,3066,77,11
77133,Courcelles-en-Bassée,223,77,11
77134,Courchamp,151,77,11
77135,Courpalay,1610,77,11
77136,Courquetaine,184,77,11
77137,Courtacon,245,77,11
77138,Courtomer,591,77,11
77139,Courtry,7330,77,11
77140,Coutençon,260,77,11
77141,Coutevroult,1187,77,11
77142,Crécy-la-Chapelle,4973,77,11
77143,Crégy-lès-Meaux,5446,77,11
77144,Crèvecœur-en-Brie,437,77,11
77145,Crisenoy,611,77,11
77146,Croissy-Beaubourg,2018,77,11
77147,La Croix-en-Brie,681,77,11
77148,Crouy-sur-Ourcq,1811,77,11
77150,Cuisy,476,77,11
77151,Dagny,305,77,11
77152,Dammarie-les-Lys,23559,77,11
77153,Dammartin-en-Goële,11907,77,11
77154,Dammartin-sur-Tigeaux,1280,77,11
77155,Dampmart,3677,77,11
77156,Darvault,987,77,11
77157,Dhuisy,334,77,11
77158,Diant,194,77,11
77159,Donnemarie-Dontilly,2706,77,11
77161,Dormelles,816,77,11
77162,Doue,1122,77,11
77163,Douy-la-Ramée,395,77,11
77164,Échouboulains,555,77,11
77165,Les Écrennes,628,77,11
77167,Égligny,310,77,11
77168,Égreville,2186,77,11
77169,Émerainville,7690,77,11
77171,Esbly,6072,77,11
77172,Esmans,934,77,11
77173,Étrépilly,805,77,11
77174,Everly,566,77,11
77175,Évry-Grégy-sur-Yerre,3321,77,11
77176,Faremoutiers,3057,77,11
77177,Favières,1316,77,11
77178,Faÿ-lès-Nemours,524,77,11
77179,Féricy,625,77,11
77180,Férolles-Attilly,1248,77,11
77181,Ferrières-en-Brie,3932,77,11
77182,La Ferté-Gaucher,4743,77,11
77183,La Ferté-sous-Jouarre,10254,77,11
77184,Flagy,584,77,11
77185,Fleury-en-Bière,652,77,11
77186,Fontainebleau,15583,77,11
77187,Fontaine-Fourches,576,77,11
77188,Fontaine-le-Port,1025,77,11
77190,Fontains,256,77,11
77191,Fontenailles,1109,77,11
77192,Fontenay-Trésigny,5994,77,11
77193,Forfry,238,77,11
77194,Forges,443,77,11
77195,Fouju,655,77,11
77196,Fresnes-sur-Marne,948,77,11
77197,Frétoy,173,77,11
77198,Fromont,230,77,11
77199,Fublaines,1370,77,11
77200,Garentreville,123,77,11
77201,Gastins,741,77,11
77202,La Genevraye,840,77,11
77203,Germigny-l'Évêque,1352,77,11
77204,Germigny-sous-Coulombs,201,77,11
77205,Gesvres-le-Chapitre,145,77,11
77206,Giremoutiers,188,77,11
77207,Gironville,166,77,11
77208,Gouaix,1299,77,11
77209,Gouvernes,1177,77,11
77210,La Grande-Paroisse,2893,77,11
77211,Grandpuits-Bailly-Carrois,1009,77,11
77212,Gravon,156,77,11
77214,Gressy,807,77,11
77215,Gretz-Armainvilliers,8825,77,11
77216,Grez-sur-Loing,1432,77,11
77217,Grisy-Suisnes,2948,77,11
77218,Grisy-sur-Seine,123,77,11
77219,Guérard,2688,77,11
77220,Guercheville,268,77,11
77221,Guermantes,1153,77,11
77222,Guignes,4448,77,11
77223,Gurcy-le-Châtel,559,77,11
77224,Hautefeuille,253,77,11
77225,La Haute-Maison,352,77,11
77226,Héricy,2507,77,11
77227,Hermé,647,77,11
77228,Hondevilliers,256,77,11
77229,La Houssaye-en-Brie,1731,77,11
77230,Ichy,157,77,11
77231,Isles-les-Meldeuses,760,77,11
77232,Isles-lès-Villenoy,1129,77,11
77233,Iverny,618,77,11
77234,Jablines,647,77,11
