CODGEO,NOM_COMMUNE,DEP,REGION,REGION_CODE,NB_DPE_TOTAL,NB_PASSOIRES,TAUX_PASSOIRES,NB_CLASSE_A,NB_CLASSE_B,NB_CLASSE_C,NB_CLASSE_D,NB_CLASSE_E,NB_CLASSE_F,NB_CLASSE_G,SURFACE_MOY,CONSO_ENERGIE_MOY,ANNEE_CONSTRUCTION_MOY,NB_MAISONS_DPE,NB_APPARTS_DPE,POPULATION,REVENU_MEDIAN,TAUX_PAUVRETE,MENAGES_PAUVRES,NB_LOGEMENTS,NB_RP,NB_LOGVAC,PASSOIRES_POUR_1000_HAB,TAUX_COUVERTURE_DPE,RATIO_PASSOIRES_RP,TAUX_VACANCE,SCORE_PRIORITE,CATEGORIE_PRIORITE,RANG_PRIORITE
02019,Annois,02,Hauts-de-France,32,6,4,66.67,1,0,0,0,1,2,2,85.6,440.2,1964.7,3,2,349.0,18858.0,21.5,20.3,345.0,274.0,48.0,11.46,1.74,1.46,13.91,0.5383,Moyenne,474
02025,Artemps,02,Hauts-de-France,32,5,3,60.0,0,0,0,2,0,1,2,90.7,470.0,1954.0,3,2,361.0,20281.0,19.3,23.0,3940.0,3224.0,302.0,8.31,0.13,0.09,7.66,0.4918,Moyenne,674
02029,Attilly,02,Hauts-de-France,32,5,2,40.0,0,0,1,0,2,1,1,69.6,498.8,1974.2,3,2,337.0,23612.0,17.1,18.2,1370.0,1026.0,152.0,5.93,0.36,0.19,11.09,0.3696,Moyenne,1605
02041,Autreville,02,Hauts-de-France,32,5,1,20.0,0,0,1,2,1,1,0,73.6,409.2,1985.8,2,3,777.0,20194.0,21.0,18.2,901.0,713.0,71.0,1.29,0.55,0.14,7.88,0.3266,Faible,1925
02042,Azy-sur-Marne,02,Hauts-de-France,32,6,4,66.67,0,0,0,1,1,1,3,70.5,406.8,1958.8,3,3,369.0,17255.0,28.0,30.7,7514.0,4928.0,1055.0,10.84,0.08,0.08,14.04,0.5571,Moyenne,432
02053,Vallées en Champagne,02,Hauts-de-France,32,5,2,40.0,0,0,0,1,2,1,1,75.7,548.6,1969.4,3,2,599.0,23540.0,18.5,20.6,1477.0,1242.0,109.0,3.34,0.34,0.16,7.38,0.3681,Moyenne,1617
02059,Beautor,02,Hauts-de-France,32,7,3,42.86,0,0,1,2,1,3,0,98.4,382.7,1980.7,5,2,2579.0,18687.0,22.9,26.8,397.0,312.0,27.0,1.16,1.76,0.96,6.8,0.4361,Moyenne,1061
02067,Bergues-sur-Sambre,02,Hauts-de-France,32,6,1,16.67,0,0,0,3,2,1,0,74.0,390.5,1974.2,2,3,205.0,13900.0,30.7,35.4,2834.0,2055.0,240.0,4.88,0.21,0.05,8.47,0.3923,Moyenne,1412
02069,Berlise,02,Hauts-de-France,32,6,2,33.33,0,0,0,2,2,1,1,109.7,443.0,1962.7,4,1,104.0,14847.0,28.8,30.3,2877.0,1924.0,388.0,19.23,0.21,0.1,13.49,0.4601,Moyenne,886
02071,Berny-Rivière,02,Hauts-de-France,32,6,2,33.33,0,0,2,2,0,1,1,96.8,348.7,1971.2,6,0,631.0,21284.0,21.5,20.5,6158.0,4983.0,344.0,3.17,0.1,0.04,5.59,0.3685,Moyenne,1614
