CODGEO,etiquette_dpe,etiquette_ges,type_batiment,annee_construction,surface_habitable_logement,consommation_energie_primaire,date_reception_dpe,region,region_code,est_passoire
77131,F,D,appartement,1953,60.2,337.0,2021-07-01,Île-de-France,11,1
77140,E,G,maison,1982,31.6,360.0,2021-07-01,Île-de-France,11,0
91015,E,G,appartement,1982,48.9,648.0,2021-07-01,Île-de-France,11,0
78346,C,G,appartement,1997,54.9,298.0,2021-07-01,Île-de-France,11,0
93186,B,E,maison,1990,45.0,131.0,2021-07-02,Île-de-France,11,0
92077,F,D,maison,1932,86.5,340.0,2021-07-02,Île-de-France,11,1
92102,D,D,maison,1991,54.3,248.0,2021-07-02,Île-de-France,11,0
94387,D,D,appartement,1979,82.9,231.0,2021-07-02,Île-de-France,11,0
78318,C,E,maison,2015,59.0,163.0,2021-07-03,Île-de-France,11,0
93361,D,G,maison,1980,119.1,289.0,2021-07-03,Île-de-France,11,0
92051,D,D,maison,1980,76.3,298.0,2021-07-03,Île-de-France,11,0
91342,E,F,maison,1985,62.2,339.0,2021-07-03,Île-de-France,11,0
94339,F,D,maison,1937,247.9,629.0,2021-07-04,Île-de-France,11,1
75019,E,C,appartement,1985,60.2,532.0,2021-07-04,Île-de-France,11,0
95215,D,E,appartement,1992,94.2,202.0,2021-07-04,Île-de-France,11,0
93379,C,G,appartement,1994,90.9,242.0,2021-07-04,Île-de-France,11,0
91197,E,G,appartement,1976,52.8,644.0,2021-07-05,Île-de-France,11,0
94251,D,E,appartement,1966,66.6,325.0,2021-07-05,Île-de-France,11,0
94280,B,D,appartement,1985,103.0,128.0,2021-07-05,Île-de-France,11,0
94300,E,E,appartement,1989,33.8,655.0,2021-07-05,Île-de-France,11,0
78369,D,D,maison,1983,54.9,156.0,2021-07-06,Île-de-France,11,0
92278,C,E,maison,1992,61.5,182.0,2021-07-06,Île-de-France,11,0
91161,B,D,maison,1998,124.5,105.0,2021-07-06,Île-de-France,11,0
95297,D,D,maison,1972,58.9,215.0,2021-07-06,Île-de-France,11,0
78009,B,C,maison,1991,79.6,113.0,2021-07-07,Île-de-France,11,0
91138,E,D,maison,1981,41.9,532.0,2021-07-07,Île-de-France,11,0
92095,B,D,immeuble,1996,27.6,96.0,2021-07-07,Île-de-France,11,0
92274,D,E,maison,1990,49.2,298.0,2021-07-07,Île-de-France,11,0
91363,D,D,maison,1971,84.0,209.0,2021-07-08,Île-de-France,11,0
95159,C,D,maison,1988,75.9,301.0,2021-07-08,Île-de-France,11,0
95386,D,B,maison,1978,59.4,260.0,2021-07-08,Île-de-France,11,0
94109,D,D,appartement,1972,119.1,263.0,2021-07-08,Île-de-France,11,0
91159,A,E,appartement,2010,51.9,92.0,2021-07-09,Île-de-France,11,0
92367,F,G,appartement,1969,27.4,465.0,2021-07-09,Île-de-France,11,1
78333,C,D,appartement,2000,56.3,178.0,2021-07-09,Île-de-France,11,0
75052,C,D,maison,1993,75.3,318.0,2021-07-09,Île-de-France,11,0
92051,E,G,appartement,1975,76.7,561.0,2021-07-10,Île-de-France,11,0
91063,B,D,appartement,2007,106.1,90.0,2021-07-10,Île-de-France,11,0
91033,D,B,appartement,1966,62.0,157.0,2021-07-10,Île-de-France,11,0
94235,D,F,immeuble,1980,148.3,239.0,2021-07-10,Île-de-France,11,0
92040,D,E,maison,1984,99.1,170.0,2021-07-11,Île-de-France,11,0
95124,G,A,maison,1925,49.4,416.0,2021-07-11,Île-de-France,11,1
93244,E,F,maison,1968,108.9,572.0,2021-07-11,Île-de-France,11,0
94262,D,F,appartement,1994,41.7,299.0,2021-07-12,Île-de-France,11,0
94369,F,C,immeuble,1935,85.3,354.0,2021-07-12,Île-de-France,11,1
95377,F,C,appartement,1954,54.8,356.0,2021-07-12,Île-de-France,11,1
77247,C,F,maison,1995,48.4,308.0,2021-07-12,Île-de-France,11,0
93015,D,F,appartement,1977,37.1,162.0,2021-07-13,Île-de-France,11,0
94238,C,G,maison,2016,42.1,272.0,2021-07-13,Île-de-France,11,0
78322,D,G,appartement,1980,92.5,316.0,2021-07-13,Île-de-France,11,0
95220,G,F,appartement,1957,40.5,543.0,2021-07-13,Île-de-France,11,1
92136,D,D,maison,1986,134.8,264.0,2021-07-14,Île-de-France,11,0
91084,D,F,appartement,1967,149.3,162.0,2021-07-14,Île-de-France,11,0
94160,F,C,appartement,1966,101.1,347.0,2021-07-14,Île-de-France,11,1
93365,G,E,appartement,1929,56.0,566.0,2021-07-14,Île-de-France,11,1
95051,C,F,maison,2001,44.3,283.0,2021-07-15,Île-de-France,11,0
78395,E,G,appartement,1992,83.6,687.0,2021-07-15,Île-de-France,11,0
91328,B,G,maison,1989,28.6,98.0,2021-07-15,Île-de-France,11,0
91206,C,F,maison,1995,72.0,284.0,2021-07-15,Île-de-France,11,0
95141,D,G,maison,1966,98.8,221.0,2021-07-16,Île-de-France,11,0
94042,E,D,immeuble,1993,117.8,542.0,2021-07-16,Île-de-France,11,0
92359,D,F,appartement,1978,65.6,281.0,2021-07-16,Île-de-France,11,0
92386,C,A,maison,2006,85.8,166.0,2021-07-16,Île-de-France,11,0
75015,C,D,maison,1993,48.6,248.0,2021-07-17,Île-de-France,11,0
94155,F,D,appartement,1938,18.0,468.0,2021-07-17,Île-de-France,11,1
95081,E,E,appartement,1994,113.1,691.0,2021-07-17,Île-de-France,11,0
93298,G,F,appartement,1949,124.7,523.0,2021-07-17,Île-de-France,11,1
91390,D,B,maison,1977,91.2,250.0,2021-07-18,Île-de-France,11,0
77089,D,E,appartement,1965,111.7,298.0,2021-07-18,Île-de-France,11,0
77385,F,F,maison,1954,71.6,430.0,2021-07-18,Île-de-France,11,1
95339,E,F,maison,1987,42.5,420.0,2021-07-18,Île-de-France,11,0
77188,D,G,maison,1979,25.9,250.0,2021-07-19,Île-de-France,11,0
91120,D,B,maison,1974,55.5,284.0,2021-07-19,Île-de-France,11,0
94034,C,D,appartement,1988,75.5,193.0,2021-07-19,Île-de-France,11,0
95152,F,D,appartement,1923,91.5,522.0,2021-07-19,Île-de-France,11,1
93076,C,A,appartement,2019,58.2,175.0,2021-07-20,Île-de-France,11,0
94349,D,F,appartement,1994,25.1,223.0,2021-07-20,Île-de-France,11,0
93296,D,E,appartement,1994,32.6,198.0,2021-07-20,Île-de-France,11,0
91348,C,D,appartement,2008,147.9,274.0,2021-07-20,Île-de-France,11,0
93327,F,D,maison,1960,54.0,577.0,2021-07-21,Île-de-France,11,1
93206,D,D,appartement,1970,90.1,308.0,2021-07-21,Île-de-France,11,0
92228,G,F,maison,1923,61.1,656.0,2021-07-21,Île-de-France,11,1
94328,F,D,maison,1960,50.3,544.0,2021-07-21,Île-de-France,11,1
94080,D,B,maison,1975,33.2,250.0,2021-07-22,Île-de-France,11,0
77189,A,C,maison,1988,49.0,133.0,2021-07-22,Île-de-France,11,0
78250,B,E,appartement,1985,75.4,87.0,2021-07-22,Île-de-France,11,0
94186,F,D,maison,1924,62.8,607.0,2021-07-23,Île-de-France,11,1
78266,D,F,maison,1993,64.7,327.0,2021-07-23,Île-de-France,11,0
93156,B,D,appartement,2017,103.1,143.0,2021-07-23,Île-de-France,11,0
91344,C,D,appartement,2010,64.3,176.0,2021-07-23,Île-de-France,11,0
95056,C,C,appartement,2018,83.4,215.0,2021-07-24,Île-de-France,11,0
95169,G,G,appartement,1958,64.9,423.0,2021-07-24,Île-de-France,11,1
92304,F,E,appartement,1967,164.9,527.0,2021-07-24,Île-de-France,11,1
93272,C,D,immeuble,2009,95.1,210.0,2021-07-24,Île-de-France,11,0
77158,B,E,appartement,2013,31.8,68.0,2021-07-25,Île-de-France,11,0
