CODGEO,DEP,NB_LOGEMENTS,NB_RP,NB_LOGVAC,NB_MAISON,NB_APPART
75001,75,885.0,721.0,47.0,449.0,379.0
75002,75,24000.0,17028.0,1312.0,11855.0,5154.0
75003,75,3404.0,2469.0,338.0,1658.0,1131.0
75004,75,3783.0,3195.0,387.0,1078.0,1997.0
75005,75,1645.0,1165.0,216.0,735.0,452.0
75006,75,127.0,98.0,7.0,45.0,33.0
75007,75,626.0,466.0,36.0,183.0,141.0
75008,75,548.0,454.0,57.0,166.0,304.0
75009,75,463.0,349.0,52.0,216.0,221.0
75010,75,1186.0,830.0,174.0,403.0,336.0
75011,75,44.0,30.0,6.0,20.0,19.0
75012,75,3991.0,2939.0,485.0,1882.0,974.0
75013,75,15447.0,13057.0,1861.0,7242.0,4989.0
75014,75,203.0,143.0,13.0,60.0,83.0
75015,75,718.0,592.0,85.0,373.0,395.0
75016,75,919.0,625.0,89.0,324.0,316.0
75017,75,3753.0,2616.0,227.0,1427.0,1039.0
75018,75,2542.0,2072.0,245.0,1194.0,915.0
75019,75,688.0,469.0,50.0,242.0,207.0
75020,75,438.0,349.0,50.0,212.0,215.0
75021,75,88.0,74.0,5.0,34.0,26.0
75022,75,1443.0,1084.0,188.0,531.0,513.0
75023,75,468.0,371.0,58.0,202.0,245.0
75024,75,781.0,528.0,54.0,337.0,298.0
75025,75,11259.0,9066.0,1187.0,5220.0,3623.0
75026,75,1261.0,997.0,113.0,545.0,538.0
75027,75,11074.0,7368.0,788.0,3089.0,5057.0
75028,75,3869.0,3023.0,260.0,1731.0,1923.0
75029,75,923.0,774.0,67.0,279.0,427.0
75030,75,1387.0,911.0,179.0,325.0,304.0
75031,75,3037.0,2543.0,277.0,1087.0,1482.0
75032,75,2520.0,1954.0,298.0,1143.0,1145.0
75033,75,3202.0,2551.0,212.0,833.0,1360.0
75034,75,1097.0,841.0,128.0,333.0,403.0
75035,75,311.0,213.0,29.0,85.0,142.0
75036,75,2282.0,1569.0,205.0,983.0,494.0
75037,75,1811.0,1484.0,169.0,721.0,941.0
75038,75,219.0,164.0,21.0,68.0,72.0
75039,75,3327.0,2682.0,406.0,1532.0,1800.0
75040,75,68.0,55.0,9.0,17.0,25.0
75041,75,216.0,169.0,32.0,61.0,73.0
75042,75,38286.0,32184.0,3548.0,15024.0,20870.0
75043,75,824.0,682.0,72.0,211.0,319.0
75044,75,329.0,219.0,35.0,106.0,96.0
75045,75,12.0,10.0,1.0,6.0,5.0
75046,75,737.0,557.0,107.0,232.0,235.0
75047,75,800.0,602.0,48.0,261.0,282.0
75048,75,299.0,253.0,44.0,87.0,117.0
75049,75,2383.0,1885.0,323.0,834.0,1093.0
75050,75,7638.0,5941.0,432.0,3362.0,1903.0
75051,75,621.0,432.0,90.0,278.0,180.0
75052,75,739.0,621.0,45.0,231.0,299.0
75053,75,913.0,697.0,116.0,422.0,487.0
75054,75,439.0,331.0,58.0,195.0,201.0
75055,75,2532.0,2055.0,264.0,1319.0,1030.0
75056,75,80.0,56.0,4.0,22.0,30.0
75057,75,13477.0,9775.0,1712.0,4187.0,6750.0
75058,75,725.0,514.0,98.0,242.0,204.0
75059,75,924.0,733.0,61.0,502.0,260.0
75060,75,2252.0,1858.0,115.0,792.0,911.0
75061,75,4802.0,3387.0,276.0,1147.0,1016.0
75062,75,5524.0,4435.0,351.0,2775.0,1821.0
75063,75,882.0,703.0,118.0,357.0,292.0
75064,75,156.0,114.0,22.0,70.0,51.0
75065,75,406.0,327.0,31.0,152.0,179.0
75066,75,14985.0,10202.0,1841.0,5780.0,7085.0
75067,75,3650.0,2801.0,420.0,1914.0,963.0
75068,75,9449.0,7820.0,776.0,2360.0,3080.0
75069,75,56951.0,43251.0,6211.0,13531.0,30262.0
75070,75,7262.0,5339.0,478.0,2077.0,3142.0
75071,75,3207.0,2695.0,309.0,1412.0,1142.0
75072,75,63.0,50.0,7.0,22.0,22.0
75073,75,6500.0,5326.0,955.0,2230.0,2322.0
75074,75,6516.0,4707.0,699.0,1953.0,2533.0
75075,75,137.0,110.0,17.0,37.0,58.0
75076,75,1355.0,1053.0,81.0,407.0,623.0
75077,75,400.0,267.0,41.0,186.0,131.0
75078,75,455.0,368.0,60.0,186.0,134.0
75079,75,2150.0,1734.0,198.0,897.0,839.0
75080,75,393.0,288.0,52.0,132.0,164.0
75081,75,2429.0,1778.0,297.0,702.0,1222.0
75082,75,137.0,105.0,19.0,36.0,41.0
75083,75,50169.0,39264.0,2586.0,24713.0,23617.0
75084,75,408.0,345.0,30.0,197.0,198.0
75085,75,214.0,150.0,32.0,101.0,89.0
75086,75,1111.0,874.0,154.0,354.0,313.0
75087,75,1039.0,873.0,102.0,539.0,546.0
75088,75,206.0,146.0,18.0,50.0,84.0
75089,75,2014.0,1370.0,270.0,532.0,566.0
75090,75,11973.0,8820.0,1239.0,5616.0,4230.0
75091,75,242.0,201.0,19.0,94.0,122.0
75092,75,1004.0,714.0,70.0,371.0,371.0
75093,75,2086.0,1688.0,170.0,576.0,765.0
75094,75,2782.0,1883.0,365.0,601.0,1316.0
75095,75,1523.0,1193.0,221.0,628.0,675.0
75096,75,1054.0,871.0,80.0,317.0,585.0
75097,75,460.0,325.0,36.0,113.0,220.0
75098,75,1094.0,754.0,112.0,241.0,428.0
75099,75,1185.0,922.0,159.0,543.0,350.0
77001,77,3230.0,2125.0,477.0,1113.0,1298.0
77002,77,65.0,44.0,8.0,27.0,15.0
77003,77,168.0,125.0,18.0,83.0,53.0
77004,77,30.0,20.0,2.0,6.0,13.0
77005,77,4148.0,3377.0,367.0,1587.0,1699.0
77006,77,2166.0,1484.0,228.0,869.0,871.0
77007,77,689.0,523.0,103.0,289.0,327.0
77008,77,745.0,587.0,78.0,221.0,215.0
77009,77,839.0,701.0,44.0,312.0,212.0
77010,77,3694.0,2599.0,294.0,1170.0,1520.0
77011,77,502.0,348.0,48.0,108.0,161.0
77012,77,852.0,571.0,125.0,174.0,309.0
77013,77,584.0,388.0,51.0,239.0,158.0
77014,77,910.0,618.0,66.0,296.0,400.0
77015,77,6563.0,4443.0,456.0,2243.0,2764.0
77016,77,2917.0,1992.0,332.0,1236.0,1066.0
77017,77,5705.0,4399.0,794.0,1395.0,1505.0
77018,77,515.0,394.0,44.0,172.0,233.0
77019,77,4395.0,3096.0,445.0,1925.0,2144.0
77020,77,1020.0,778.0,70.0,420.0,443.0
77021,77,451.0,371.0,62.0,225.0,174.0
77022,77,4465.0,2933.0,271.0,1905.0,1346.0
77023,77,23813.0,17588.0,2519.0,6941.0,10120.0
77024,77,435.0,345.0,45.0,177.0,240.0
77025,77,1246.0,861.0,102.0,492.0,348.0
77026,77,304.0,256.0,23.0,155.0,141.0
77027,77,12759.0,10276.0,1238.0,5212.0,3140.0
77028,77,126.0,104.0,8.0,69.0,35.0
77029,77,141.0,112.0,9.0,72.0,64.0
77030,77,1650.0,1143.0,108.0,729.0,662.0
77031,77,96.0,67.0,8.0,41.0,36.0
77032,77,8821.0,5854.0,763.0,2831.0,3708.0
77033,77,663.0,500.0,95.0,165.0,349.0
77034,77,4388.0,3720.0,330.0,2593.0,2597.0
77035,77,13474.0,11233.0,1008.0,3409.0,5285.0
77036,77,390.0,292.0,34.0,194.0,137.0
77037,77,169.0,119.0,16.0,64.0,60.0
77038,77,585.0,493.0,74.0,208.0,285.0
77039,77,3620.0,3075.0,518.0,1759.0,1138.0
77040,77,381.0,296.0,38.0,135.0,125.0
77041,77,133.0,90.0,16.0,36.0,30.0
77042,77,556.0,450.0,41.0,160.0,184.0
77043,77,716.0,598.0,79.0,375.0,397.0
77044,77,1768.0,1290.0,187.0,559.0,537.0
77045,77,2244.0,1693.0,151.0,1089.0,852.0
77046,77,839.0,650.0,96.0,430.0,409.0
77047,77,177.0,139.0,18.0,68.0,72.0
77048,77,449.0,371.0,39.0,155.0,235.0
77049,77,4148.0,3263.0,515.0,2072.0,1542.0
77050,77,124059.0,91673.0,8597.0,32356.0,38425.0
77051,77,3777.0,3203.0,212.0,1807.0,1666.0
77052,77,1626.0,1123.0,186.0,669.0,758.0
77053,77,260.0,200.0,35.0,71.0,129.0
77054,77,515.0,417.0,57.0,215.0,259.0
77055,77,354.0,249.0,50.0,101.0,98.0
77056,77,8788.0,6436.0,1085.0,4218.0,4490.0
77057,77,386.0,317.0,52.0,148.0,130.0
77058,77,1793.0,1393.0,185.0,687.0,968.0
77059,77,854.0,607.0,49.0,328.0,339.0
77060,77,13202.0,8702.0,1892.0,4552.0,2781.0
77061,77,1606.0,1362.0,85.0,838.0,656.0
77062,77,3485.0,2558.0,229.0,1200.0,1481.0
77063,77,69.0,57.0,8.0,35.0,34.0
77064,77,480.0,388.0,38.0,137.0,150.0
77065,77,4775.0,3179.0,461.0,1796.0,1633.0
77066,77,39.0,29.0,3.0,13.0,12.0
77067,77,1906.0,1601.0,255.0,601.0,824.0
77068,77,1320.0,927.0,150.0,379.0,586.0
77069,77,2884.0,2341.0,331.0,1434.0,854.0
77070,77,362.0,242.0,47.0,132.0,72.0
77071,77,197.0,141.0,22.0,80.0,82.0
77072,77,167.0,136.0,8.0,50.0,67.0
77073,77,521.0,342.0,52.0,237.0,229.0
