CODGEO,NOM_COMMUNE,REVENU_MEDIAN,TAUX_PAUVRETE,MENAGES_PAUVRES
75056,Paris,31157.0,10.0,11.6
77001,Achères-la-Forêt,23651.0,20.5,22.6
77002,Amillis,20396.0,25.4,25.8
77003,Amponville,23841.0,15.8,15.2
77004,Andrezel,25784.0,17.5,18.1
77005,Annet-sur-Marne,21678.0,19.7,21.3
77006,Arbonne-la-Forêt,20422.0,23.0,25.3
77007,Argentières,18032.0,25.8,21.1
77008,Armentières-en-Brie,21472.0,21.6,23.8
77009,Arville,22411.0,19.3,18.3
77010,Aubepierre-Ozouer-le-Repos,23404.0,17.1,16.7
77011,Aufferville,19936.0,22.8,24.1
77012,Augers-en-Brie,21720.0,20.0,19.1
77013,Aulnoy,24304.0,18.3,20.0
77014,Avon,27682.0,13.5,15.0
77015,Baby,19546.0,22.1,18.8
77016,Bagneaux-sur-Loing,25278.0,16.9,16.0
77018,Bailly-Romainvilliers,27219.0,14.5,17.1
77019,Balloy,26016.0,14.2,11.6
77020,Bannost-Villegagnon,22890.0,17.9,18.5
77021,Barbey,19571.0,23.4,21.1
77022,Barbizon,24406.0,19.9,23.9
77023,Barcy,20970.0,18.7,21.4
77024,Bassevelle,17582.0,29.1,29.6
77025,Bazoches-lès-Bray,23120.0,16.8,17.0
77026,Beauchery-Saint-Martin,24653.0,17.4,16.8
77027,Beaumont-du-Gâtinais,21678.0,21.6,17.8
77029,Beauvoir,21515.0,24.2,19.9
77030,Bellot,19529.0,22.4,26.4
77031,Bernay-Vilbert,22304.0,21.2,17.8
77032,Beton-Bazoches,28650.0,13.9,14.5
77033,Bezalles,26372.0,16.1,14.9
77034,Blandy,20183.0,24.9,22.8
77035,Blennes,19363.0,22.9,18.5
77036,Boisdon,26584.0,16.1,14.5
77037,Bois-le-Roi,24171.0,20.6,17.8
77038,Boissettes,22402.0,19.5,21.3
77039,Boissise-la-Bertrand,29852.0,11.0,12.9
77040,Boissise-le-Roi,18249.0,24.0,22.6
77041,Boissy-aux-Cailles,22328.0,20.7,21.2
77042,Boissy-le-Châtel,27904.0,11.9,10.0
77043,Boitron,20873.0,25.2,22.7
77044,Bombon,22773.0,16.8,15.5
77045,Bougligny,25653.0,19.7,16.3
77046,Boulancourt,29235.0,11.8,10.4
77047,Bouleurs,25426.0,17.5,14.2
77048,Bourron-Marlotte,23148.0,18.1,16.7
77049,Boutigny,25783.0,12.9,15.5
77050,Bransles,21976.0,19.6,20.4
77051,Bray-sur-Seine,26895.0,11.0,12.5
77052,Bréau,27395.0,11.9,12.3
77053,Brie-Comte-Robert,30623.0,9.8,11.6
77054,La Brosse-Montceaux,21377.0,18.5,16.5
77055,Brou-sur-Chantereine,20149.0,24.3,22.8
77056,Burcy,21021.0,19.7,17.0
77057,Bussières,22721.0,20.9,21.2
77058,Bussy-Saint-Georges,25163.0,17.7,19.9
77059,Bussy-Saint-Martin,29892.0,15.1,17.6
77060,Buthiers,23617.0,19.0,17.0
77061,Cannes-Écluse,25194.0,19.3,20.6
77062,Carnetin,14880.0,31.7,36.1
77063,La Celle-sur-Morin,20289.0,24.7,24.6
77065,Cély,28917.0,13.9,14.3
77066,Cerneux,25894.0,16.5,17.5
77067,Cesson,33377.0,3.5,3.1
77068,Cessoy-en-Montois,20844.0,23.3,20.8
77069,Chailly-en-Bière,26338.0,16.8,15.0
77070,Chailly-en-Brie,25547.0,14.3,16.2
77071,Chaintreaux,23166.0,22.6,19.3
77072,Chalautre-la-Grande,21501.0,19.8,21.4
77073,Chalautre-la-Petite,19942.0,22.2,21.6
77075,Chalifert,25583.0,17.0,16.2
77076,Chalmaison,19574.0,23.8,21.7
77077,Chambry,21420.0,22.6,19.7
77078,Chamigny,25508.0,16.9,18.0
77079,Champagne-sur-Seine,29202.0,11.8,11.1
77080,Champcenest,24666.0,21.0,19.4
77081,Champdeuil,18635.0,27.2,22.2
77082,Champeaux,25436.0,19.0,16.7
77083,Champs-sur-Marne,27537.0,14.8,13.1
77084,Changis-sur-Marne,18776.0,24.8,27.5
77085,Chanteloup-en-Brie,23899.0,20.3,17.2
77086,La Chapelle-Gauthier,22548.0,18.9,17.7
77087,La Chapelle-Iger,24519.0,18.9,19.8
77088,La Chapelle-la-Reine,28674.0,15.3,15.2
