CODGEO,NOM_COMMUNE,POPULATION,DEP,REG,MED21,TP6021,MEN_PAUV,SOURCE_REVENUS
75056,Paris,2103778,75,11,31157.0,10.0,11.6,insee_stats_dep_2022
77001,Achères-la-Forêt,1191,77,11,23651.0,20.5,22.6,insee_stats_dep_2022
77002,Amillis,830,77,11,20396.0,25.4,25.8,insee_stats_dep_2022
77003,Amponville,349,77,11,23841.0,15.8,15.2,insee_stats_dep_2022
77004,Andrezel,336,77,11,25784.0,17.5,18.1,insee_stats_dep_2022
77005,Annet-sur-Marne,3408,77,11,21678.0,19.7,21.3,insee_stats_dep_2022
77006,Arbonne-la-Forêt,1021,77,11,20422.0,23.0,25.3,insee_stats_dep_2022
77007,Argentières,361,77,11,18032.0,25.8,21.1,insee_stats_dep_2022
77008,Armentières-en-Brie,1176,77,11,21472.0,21.6,23.8,insee_stats_dep_2022
77009,Arville,145,77,11,22411.0,19.3,18.3,insee_stats_dep_2022
77010,Aubepierre-Ozouer-le-Repos,984,77,11,23404.0,17.1,16.7,insee_stats_dep_2022
77011,Aufferville,482,77,11,19936.0,22.8,24.1,insee_stats_dep_2022
77012,Augers-en-Brie,265,77,11,21720.0,20.0,19.1,insee_stats_dep_2022
77013,Aulnoy,362,77,11,24304.0,18.3,20.0,insee_stats_dep_2022
77014,Avon,13651,77,11,27682.0,13.5,15.0,insee_stats_dep_2022
77015,Baby,113,77,11,19546.0,22.1,18.8,insee_stats_dep_2022
77016,Bagneaux-sur-Loing,1570,77,11,25278.0,16.9,16.0,insee_stats_dep_2022
77018,Bailly-Romainvilliers,6980,77,11,27219.0,14.5,17.1,insee_stats_dep_2022
77019,Balloy,359,77,11,26016.0,14.2,11.6,insee_stats_dep_2022
77020,Bannost-Villegagnon,667,77,11,22890.0,17.9,18.5,insee_stats_dep_2022
77021,Barbey,153,77,11,19571.0,23.4,21.1,insee_stats_dep_2022
77022,Barbizon,1261,77,11,24406.0,19.9,23.9,insee_stats_dep_2022
77023,Barcy,387,77,11,20970.0,18.7,21.4,insee_stats_dep_2022
77024,Bassevelle,374,77,11,17582.0,29.1,29.6,insee_stats_dep_2022
77025,Bazoches-lès-Bray,878,77,11,23120.0,16.8,17.0,insee_stats_dep_2022
77026,Beauchery-Saint-Martin,384,77,11,24653.0,17.4,16.8,insee_stats_dep_2022
77027,Beaumont-du-Gâtinais,1129,77,11,21678.0,21.6,17.8,insee_stats_dep_2022
77029,Beauvoir,185,77,11,21515.0,24.2,19.9,insee_stats_dep_2022
77030,Bellot,777,77,11,19529.0,22.4,26.4,insee_stats_dep_2022
77031,Bernay-Vilbert,1005,77,11,22304.0,21.2,17.8,insee_stats_dep_2022
77032,Beton-Bazoches,890,77,11,28650.0,13.9,14.5,insee_stats_dep_2022
77033,Bezalles,221,77,11,26372.0,16.1,14.9,insee_stats_dep_2022
77034,Blandy,763,77,11,20183.0,24.9,22.8,insee_stats_dep_2022
77035,Blennes,546,77,11,19363.0,22.9,18.5,insee_stats_dep_2022
77036,Boisdon,131,77,11,26584.0,16.1,14.5,insee_stats_dep_2022
